id	nazev	zkr
209	Koalice KDU-ČSL, KSČM	
210	Koalice KDU-ČSL, ODS	
211	Koalice KDU-ČSL, ODS, US	
212	Koalice KDU-ČSL, DEU	
213	Koalice KDU-ČSL, DEU, US	
214	Koalice KDU-ČSL, HSMSMNSJ	
215	Koalice KDU-ČSL, NEZ	
216	Koalice KDU-ČSL, US	
217	Koalice KDU-ČSL, SOS	
218	Koalice KDU-ČSL, SKS	
219	Koalice ČSNS, SZ, KAN, NEZ	
220	Koalice ČSNS, SZ, DEU	
221	Koalice ČSNS, ČSSD	
222	Koalice ČSNS, ODA	
223	Koalice ČSNS, SŽJ	
224	Koalice ČSNS, ODS	
225	Koalice ČSNS, DEU	
226	Koalice ČSNS, US	
227	Koalice SZ, ČSSD	SZ+ČSSD
228	Koalice SZ, ODA	
229	Koalice SZ, KAN, NEZ	
230	Koalice ČSSD, SŽJ	
231	Koalice ČSSD, KSČM	
232	Koalice ČSSD, ODS	
233	Koalice ČSSD, SDS	
234	Koalice ČSSD, HSMSMNSJ	
235	Koalice ČSSD, SV	
236	Koalice SPR-RSČ, SDČR	
237	Koalice SPR-RSČ, SDČR, MoDS	
238	Koalice ODA, KAN, DEU	
239	Koalice ODA, KAN, DEU, US	
240	Koalice ODA, ODS	
241	Koalice ODA, ODS, DEU	
242	Koalice ODA, DEU	
243	Koalice ODA, NEZ	
244	Koalice ODA, US	
245	Koalice ODA, SOS	
246	Koalice SŽJ, CAO	
247	Koalice SŽJ, SDS	
248	Koalice KAN, DEU	
249	Koalice KAN, DEU, US	
250	Koalice PA, PB, SKS	
251	Koalice KSČM, SDS	
252	Koalice ODS, DEU	
253	Koalice ODS, US	
254	Koalice DEU, MoDS	
255	Koalice DEU, US	
256	MORAVSKÁ KOALICE	MORKOAL
257	Koalice NEZ, US	
258	REPUBLIKÁNI MIROSLAVA SLÁDKA	REPUB-MS
259	Koalice České strany národně sociální a politického hnutí NEZÁVISLÍ	ČSNS-NEZ
260	Strana za životní jistoty a Strana zelených	SŽJ-SZ
261	Koalice Pravý blok - Klub angažovaných nestraníků	PB-KAN
262	PROSPERITA VYSOČINY	PROSPER
263	KOALICE NEPARLAMENTNÍCH STRAN	NEPARLAM
265	Sdružení pro Pardubický kraj	SDRUŽ.PK
266	Náš kraj 21	KRAJ21
267	ŠANCE PRO OLOMOUCKÝ KRAJ	ŠANCEOK
268	Koalice politických stran Volba pro město a Strana pro otevřenou společnost	VPM-OS
269	Koalice Unie pro Evropu a Strany zelených	UPE-SZ
270	Koalice KDU-ČSL, US-DEU	
272	Moravskoslezská koalice	MSLKOAL
273	Pražané Praze - Praha Pražanům	
274	Koalice ED, ODA	ED,ODA
275	Koalice KDU-ČSL, US-DEU, VPM	
276	Koalice SŽJ, VPM	
277	Koalice MoDS, HSMS, SŽJ	
278	Koalice SNK, VPM	
279	Koalice KDU-ČSL, ČSSD	
280	Koalice KDU-ČSL, SNK	KDUČSLED
281	Koalice KDU-ČSL, ODA, US-DEU	
282	Koalice US-DEU, SNK	
283	Koalice ČSNS, SOS, VPM	
285	Koalice SZ, SNK	
286	Koalice ČSSD, US-DEU	
287	Koalice RMS, SŽJ	
288	Koalice SNK, N	
289	Koalice US-DEU, ČSNS	
290	Koalice ODA, CZ	
291	Koalice RMS, SDČR, SPR-RSČ	
292	Koalice SOS, SZ	
293	Koalice PB, SZR	
294	Koalice ODA, SNK	
295	Koalice SNK, SZ, SOS	
296	Koalice US-DEU, SZ	
297	Koalice US-DEU, ODA	USDEUODA
298	Koalice ČSNS, VPM, KAN	
299	Koalice CZ, COEX, NEZ, ODA	
300	Koalice ČSNS, SV SOS	
301	Koalice KSČM, SZ	
302	Koalice ODS, US-DEU	
303	Koalice KDU-ČSL, SZ	KDUČSLSZ
304	Koalice US-DEU, ODS, KDU-ČSL	
305	Koalice SZ, ODA, ČSNS, KAN, CZ, N	
306	Koalice KDU-ČSL, ODS, ČSSD	
307	Koalice ODS, SZ	
308	Váš hlas nebude podporovat plané řeči ve zbytečném Senátu, ale celý plat našich senátorů půjde na zdravotnictví obvodu	Váš hlas
309	Koalice KDU-ČSL, HSMS	
310	Národní koalice	NARKOAL
311	SNK sdružení nezávislých a Evropští demokraté	SNK-ED
312	Za zájmy Moravy ve sjednocené Evropě	HSMSMoDS
313	Unie liberálních demokratů	ULD
314	Unie Prahy 4	Unie-P4
315	ZELENÁ pro MORAVU	ZEL_MOR
316	Sdružení nezávislých kandidátů	NPM+SNK
317	Koalice pro Středočeský kraj	KOAL_STČ
318	Koalice pro Pardubický kraj	KOAL_PAR
319	NEZÁVISLÍ KANDIDÁTI+STRANA ZA ŽIVOTNÍ JISTOTY+STRANA VENKOVA+STRANA ZDRAVÉHO ROZUMU=SPOJENÉ OBČANSKÉ SÍLY	SP.OBČ.S
320	Dělnická strana - akce za snížení poslaneckých platů	DS_PLATY
321	ZHN a SNK společně	ZHN+SNK
322	ED, VPM, SOS - Volba pro kraj	EDVPMSOS
323	Strana za životní jistoty - Strana občanů republiky České	SŽJ+SORČ
324	Zelení a otevřená společnost	SZ+SOS+T
325	Koalice jižní Morava	JIŽ.MOR.
326	Morava	HSMSMoDS
327	Koalice Strany zelených a Strany pro otevřenou společnost	SZ+SOS
328	Koalice Dělnické a Národní strany	DS+NS
329	Za prosperitu a jistoty východní Moravy	PROSP.VM
330	Evropští demokraté a Nezávislí starostové pro kraj	ED+NSK
331	"Koalice ""Unie pro sport a zdraví - Demokratická regionální strana"""	USZ+DRS
332	Koalice za zrušení Senátu a za obnovení trestu smrti-Vaším hlasem nepodpoříte platy stran.funkcionářů,ale zdravotn.kraje	Váš hlas
333	Koalice rozumu a citu za pořádek v naší zemi	K_ROZCIT
334	Strana pro otevřenou společnost a Hnutí nezávislých za harmonický rozvoj obcí a měst	SOSHNHRM
335	Strana zelených a US-DEU	SZ,USDEU
336	Koalice pro Karlovarský kraj	KOAL_KV
337	Vaším hlasem podpoříte financování zdravotnictví našeho kraje a nikoliv plané řeči	Váš hlas
338	Koalice pro Českou republiku	Koal_ČR
339	Koalice KDU-ČSL, Nestraníci	
340	"Koalice KDU-ČSL, ""STAN"""	
341	Koalice SZ, SN	
342	Volba pro lidi	Pro lidi
343	Koalice SNK ED, KDU-ČSL	KDUČSLED
344	Koalice KDU-ČSL, SNK ED, Nestraníci	
345	Moravskoslezská koalice ČMUS, HSMSMNSJ a MNS	MSLK_96
346	Koalice KDU-ČSL, ODA, Nestraníci	
347	Koalice SNK ED, SN	
348	Koalice SNK ED, COEX	
349	Koalice KDU-ČSL, VPM	KDU_VPM
350	Koalice CZ, US-DEU, ODA	
351	Sdružení KDU-ČSL, ČSNS, NK	
352	Sdružení KDU-ČSL, KSČM, NK	
353	Sdružení KDU-ČSL, ODS, NK	
354	Sdružení KDU-ČSL, ODS, US, NK	
355	Sdružení KDU-ČSL, NK	
356	Sdružení KDU-ČSL, DEU, NK	
357	Sdružení KDU-ČSL, US, NK	
358	Sdružení KDU-ČSL, SKS, NK	
359	Sdružení ČSNS, SZ, KAN, D92, MDS, NEZ, PB, OK, NK	
360	Sdružení ČSNS, ODA, NK	
361	Sdružení ČSNS, NK	
362	Sdružení SZ, SŽJ, NK	
363	Sdružení SZ, ODS, NK	
364	Sdružení SZ, NK	
365	Sdružení SZ, DEU, NK	
366	Sdružení SZ, MoDS, NK	
367	Sdružení SZ, SOS, NK	
368	Sdružení ČSSD, SPR-RSČ, HSMSMNSJ, NK	
369	Sdružení ČSSD, SŽJ, NK	
370	Sdružení ČSSD, SDS, NK	
371	Sdružení ČSSD, NK	
372	Sdružení SPR-RSČ, NK	
373	Sdružení ODA, ODS, NK	
374	Sdružení ODA, NK	
375	Sdružení ODA, DEU, NK	
376	Sdružení ODA, US, NK	
377	Sdružení ODA, VPM, NK	
378	Sdružení SŽJ, SDS, NK	
379	Sdružení SŽJ, NK	
380	Sdružení SŽJ, SOS, NK	
381	Sdružení CAO, NK	
382	Sdružení KAN, NK	
383	Sdružení KAN, DEU, NK	
384	Sdružení PA, NK	
385	Sdružení KSČM, SDS, NK	
386	Sdružení KSČM, SDS, SV, NK	
387	Sdružení KSČM, NK	
388	Sdružení KSČM, HSMSMNSJ, NK	
389	Sdružení ODS, NK	
390	Sdružení ODS, US, NK	
391	Sdružení MDS, NK	
392	Sdružení COEX, NK	
393	Sdružení SDS, NK	
394	Sdružení ČP, NK	
395	Sdružení SDČR, NK	
396	Sdružení DEU, NK	
397	Sdružení DEU, US, NK	
398	Sdružení MoDS, NK	
399	Sdružení MoDS, HSMSMNSJ, NK	
400	Sdružení HSMSMNSJ, NK	
401	Sdružení NEZ, NK	
402	Sdružení ŽS, NK	
403	Sdružení SČK, NK	
404	Sdružení SV SOS, NK	
405	Sdružení US, NK	
406	Sdružení US, VPM, NK	
407	Sdružení SOS, NK	
408	Sdružení OK, NK	
409	Sdružení SKS, NK	
410	Sdružení DRS, NK	
411	Sdružení VPM, NK	
412	Sdružení SOS, SNK, NK	
413	Sdružení US-DEU, NK	
414	Sdružení ODA, US-DEU, NK	
415	Sdružení KONS, NK	
417	Sdružení N, NK	
418	Sdružení RMS, NK	
419	Sdružení SNK, NK	
421	Sdružení NSJ, NK	
422	Sdružení SZ, MoDS, HSMS, SŽJ, NK	
423	Sdružení SOS, ČSNS, MDS, NK	
424	Sdružení KDU-ČSL, ČSSD, NK	
425	Sdružení HSMS, VPM, NK	
426	Sdružení DL, NK	
427	Sdružení SD-SN, NK	
428	Sdružení CZ, NK	
429	Sdružení ČSSD, US-DEU, NK	
430	Sdružení RMS, SDČR, NK	
431	Sdružení ANEO, NK	
432	Sdružení MoDS, HSMS, NK	
433	Sdružení US-DEU, ODA, ČSNS, NK	
434	Sdružení ODA, SZ, NK	
435	Sdružení US-DEU, KONS, NK	
436	Sdružení ED, ODA, CZ, NK	
437	Sdružení KDU-ČSL, ODA, US-DEU, NK	
438	Sdružení MoDS, SŽJ, NK	
439	Sdružení US-DEU, ČSNS, NK	
440	Sdružení ED, SZ, NK	
441	Sdružení ED, ODA, NK	
442	Sdružení SZ, ČSNS, SV SOS, NK	
443	Sdružení NPM, NK	
444	Sdružení SDS, SV SOS, NK	
445	Sdružení SZ, SOS, SNK, NK	
446	Sdružení ODS, US-DEU, NK	
447	Sdružení HSMS, NK	
448	Sdružení H.S., NK	
449	Sdružení SNK ED, NK	
450	"Sdružení ""LiRA"", NK"	
451	Sdružení SvOS, NK	
452	Sdružení SDŽP, NK	
453	Sdružení ČSNS2005, NK	
454	Sdružení NEZ/DEM, NK	
455	Sdružení SOS, KDU-ČSL, CZ, US-DEU, VPM, SZR, NK	
456	Sdružení HNHRM, NK	
457	Sdružení Nestraníci, NK	
458	Sdružení SZ, SN, NK	
459	Sdružení SZ, US-DEU, NK	
460	Sdružení KDU-ČSL, US-DEU, NK	
461	Sdružení NV, NK	
462	Sdružení SNK ED, SD-SN, SOS, SZ, US-DEU, NK	
463	Sdružení SN, NK	
464	Sdružení M, NK	
465	Sdružení DEUČR, NK	
466	Sdružení SNK ED, SZ, NK	
467	Sdružení SZ, NEZ, NK	
468	Sdružení MDS, ČSNS2005, SOS, NK	
469	Sdružení US-DEU, SNK ED, NK	
470	"Sdružení ""STAN"", NK"	
471	Sdružení ZHN, NK	
472	Sdružení US-DEU, SOS, NK	
473	Sdružení KDU-ČSL, ČSSD, US-DEU, NK	
474	Sdružení ČSSD, KSČM, NK	
475	Sdružení SLK, NK	
476	Sdružení ALTERNATIVA, NK	
477	Sdružení Svobodní, NK	
478	Sdružení Nový Impuls, NK	
479	Sdružení KDU-ČSL, SZ, NK	
480	Sdružení TOP 09, NK	
481	Sdružení Klíčové hnutí, NK	
482	Sdružení DSZ, NK	
483	Sdružení SPOZ, NK	
484	Sdružení SZ, VV, NK	
485	Sdružení SZ, ALTERNATIVA, Klíčové hnutí, Zelení, NK	
486	Sdružení KDU-ČSL, SNK ED, NK	
487	"Sdružení SZ, US-DEU, ""STAN"", TOP 09, NK"	
488	Sdružení Věci veřejné, NK	
489	Sdružení Strana Práv Občanů ZEMANOVCI, Strana zelených, NK	
490	Sdružení ALTER., KČ, SOS, SNK ED, US-DEU, NK	
491	Sdružení Věci veřejné, SNK Evropští demokraté, NK	
492	Sdružení Severočeši.cz, NK	
493	Sdružení Suverenita, NK	
494	Sdružení KDU-ČSL, US-DEU, SNK ED, NK	
495	"Sdružení TOP 09, ""STAN"", NK"	
496	"Sdružení ""HOPB"", ""STAN"", NK"	
497	Sdružení SsČR, NK	
498	Sdružení SNK ED, SsČR, TOP 09, NK	
499	Sdružení SLK, KDU-ČSL, NK	
500	Sdružení KSČM, FiS, NK	
501	Sdružení TOP 09, SZ, NK	
502	Sdružení US-DEU, TOP 09, NK	
503	"Sdružení S.cz, ""STAN"", NK"	
504	Sdružení FiS, NK	
505	Sdružení KDU-ČSL, Nestran., NK	
506	Sdružení PVP, NK	
507	Sdružení VV, VPM, NK	
508	Sdružení Republika, NK	
509	Sdružení DOMOV, NK	
510	Sdružení Změna, NK	
511	Sdružení ZVUK 12, NK	
512	Sdružení O.K. strana, NK	
513	Sdružení TOP 09, SLK, NK	
514	Sdružení ČS, NK	
515	Sdružení VČ, NK	
516	Sdružení HNPD, NK	
517	Sdružení SNOP13, NK	
518	Sdružení B10.cz, NK	
519	Sdružení OPAT, NK	
520	Sdružení Ú, NK	
521	Sdružení SZ, Změna, NK	
522	Sdružení PATRIOTI, NK	
523	Sdružení ODS, TOP 09, NK	
524	Sdružení VPP, NK	
525	Sdružení Hora 2014, NK	
526	Sdružení Občané, Piráti, NK	
527	Sdružení STO, NK	
528	Sdružení SZ, M, NK	
529	Sdružení SZ, Piráti, NK	
530	Sdružení NOS, NK	
531	Sdružení AO, NK	
532	Sdružení ANO 2011, NK	
533	Sdružení KSČM, SPO, NK	
534	Sdružení SZ, VPM, STAN, NK	
535	Sdružení KDU-ČSL, Piráti, LES, NK	
536	Sdružení NS, NK	
537	Sdružení FairPlay, NK	
538	Sdružení ČSR, NK	
539	Sdružení SZ, M, Změna, NK	
540	Sdružení KDU-ČSL, TOP 09, NK	
541	Sdružení Piráti, NK	
542	Sdružení Svobodní, PATRIOTI, NK	
543	Sdružení LES, NK	
544	Sdružení HDK, NK	
545	Sdružení KPP, NK	
546	Sdružení LEV 21, NK	
547	Sdružení VZPk, NK	
548	Sdružení VIZE, NK	
549	Sdružení Občané, NK	
550	Sdružení NBPLK, NK	
551	Sdružení HPP, NK	
552	Sdružení Piráti, LES, NK	
553	Sdružení KDU-ČSL, KONS, Rozumní, NK	
554	Sdružení Úsvit, NK	
555	Sdružení DOMA, NK	
556	Sdružení PRO, NK	
557	"Sdružení ""Z"", NK"	
558	Sdružení ŽTB, NK	
559	Sdružení KDU-ČSL, NEZ, NK	
560	Sdružení SD-SN, VPP, NK	
561	Sdružení SNK ED, SD-SN, NK	
562	Sdružení SZ, STAN, Piráti, NK	
563	Sdružení ODS, Úsvit, NK	
564	Sdružení DOMA, NK	
565	Sdružení Úsvit, VZ, NK	
566	Sdružení PSZ, NK	
567	Sdružení SZ, STAN, NK	
568	Sdružení KDU-ČSL, LES, NK	
569	Sdružení KDU-ČSL, SZ, STAN, NK	
570	Sdružení SZ, LES, NK	
571	Sdružení KDU-ČSL, Piráti, NK	
572	Sdružení KDU-ČSL, ZVUK 12, NK	
573	Sdružení ČSSD, SPO, NK	
574	Sdružení SZ, SNK ED, Piráti, NK	
575	Dělnická strana sociální spravedlnosti - NE diktátu Bruselu!	Koal.DSSS a SPE
576	Koalice Strana práce a Nespokojení občané!	Koal.  SP a NO!
577	Koalice STAN, SLK, TOP 09	STSLKTOP
578	Koalice KDU-ČSL, SZ, OCJJ	KDUSZOCJ
579	Koalice SZ, HNHRM, B10	SZHRMB10
580	Koalice Občané, SP, OBČ_2011	ObčanéSP
581	Koalice SNK ED a SZSP	NKEDSZSP
582	Koalice SPOZ a Češi	SPOZČeši
583	Koalice MDS a ZH	MDS+ZH
584	Koalice SZ a Změna	SZ+Změna
585	Koalice KDU-ČSL a SsČR	KDUČSLSs
586	Koalice KONS a SBB	KONS+SBB
587	Koalice KONS a SsČR	KONSSsČR
588	Koalice ZHN a Doktoři	ZHN+Dokt
589	Koalice SNK ED a SsČR	SNKED+Ss
590	Koalice SNK ED a ALTERNATIVA	SNKED+AL
591	Koalice KDU-ČSL, Nestraníci, SsČR	KDUNesSs
592	Koalice SNK ED a ML	SNKED+ML
593	Koalice SNK ED a Nestraníci	SNKED+NE
594	Koalice KDU-ČSL a NV	KDU+NV
595	Koalice KDU-ČSL, SZ, Piráti	PirSZKDU
596	"Koalice STAN a ""HOPB"""	STANHOPB
597	Koalice ČSNS a KAN	ČSNS+KAN
598	Koalice SBB a Suveren.	SBB+Suv.
599	Koalice KDU-ČSL, SZ, HNHRM	KDUSZHRM
600	Koalice DSSS a SPE	DSSS+SPE
601	Koalice SONOB, Z	
602	Koalice DS, PaS	
603	Koalice DRS, KDU-ČSL	
604	Koalice pro Českou republiku	Koal_ČR
605	Koalice SNK ED, KONS	
606	Koalice VPM, US-DEU	
607	Koalice US-DEU, SZ, ODA, KONS, ČSNS2005	
608	Koalice KDU-ČSL, USZ	
609	Unie Prahy 4	Unie_P4
610	Koalice DEUČR, ODA, KAN	
611	Koalice SZ, NV	
612	Koalice SNK ED, NEZ	
613	Koalice SZ, US-DEU, SNK ED	
614	Koalice US-DEU, NEZ/DEM	
615	Koalice KONS, KČ, SP	
616	Koalice Z, ODA, US-DEU	
617	Koalice ODS, SNK ED	
618	Koalice ODH, SNK ED	
619	Koalice SNK ED, US-DEU	
620	Koalice SOS, SNK ED, Z	
621	"Koalice SOS, ""LiRA"""	
622	"""Celý plat senátora budu dávat na zdravotnictví našeho obvodu"""	Plat_Zdr
623	Koalice NEZ, SZ	
624	Koalice ČSSD, ČSNS2005	
625	Koalice pro Středočeský kraj	KOALSTČ1
626	Národní socialisté a Rozumní	NS+SZR
627	Koalice pro Liberecký kraj	KOALLIB1
628	"""DOHODA PRO JIŽNÍ MORAVU"""	DOHODAJM
629	Strana zdravého rozumu a Česká strana národně socialistická	SZR+ČSNS
630	Koalice pro Karlovarský kraj	KOAL_KV1
631	Nejen hasiči a živnostníci pro kraj - www.hnpd.cz, www.sdzp.cz	HAS+ŽIVN
632	Dělnická strana - za zrušení poplatků ve zdravotnictví	DS_POPL
633	Dohoda pro změnu	PROZMENU
634	Alternativa 2008	Alt_2008
635	Konzervativní koalice	KONZKOAL
636	DOHODA pro Ústecký kraj	DOHODA_Ú
637	Koalice nestraníků	KOALNEST
638	Osobnosti kraje	OSOBNOST
639	Šance pro náš kraj	ŠANCE_OL
640	STŘEDOČEŠI	STŘEDOČ.
641	Koalice US-DEU a SOS	USDEUSOS
642	DOHODA pro Vysočinu	DOHODAVY
643	STAROSTOVÉ A NEZÁVISLÍ a Zlínské hnutí nezávislých	STAN+ZHN
644	Koalice US-DEU, SOS a VPM	USSOSVPM
645	Dělnická strana - NE americkému radaru!	DS_RADAR
646	Koalice pro Plzeňský kraj	KOALPLZ1
647	Koalice pro Královéhradecký kraj	KOAL_HK1
648	Volba pro kraj	VOLBA_HK
649	Koalice US-DEU a KAN	USDEUKAN
650	DOHODA pro senátní obvod Kladno	DOHODA30
651	S.O.S. pro kraj	S.O.S.
652	Koalice pro Pardubický kraj	KOALPAR1
653	Nejen hasiči a živnostníci pro kraj	HAS+ŽIVN
654	Suverenita	Suveren.
655	Nejen hasiči a živnostníci s učiteli do Evropy - www.hnpd.cz, www.sdzp.cz	HNDPSDZP
656	"""STAROSTOVÉ A NEZÁVISLÍ - VAŠE ALTERNATIVA"""	VAŠEALT.
657	Koalice Suveren. a NEZ/DEM	
658	Koalice SOS A ZELENÍ	
659	"Koalice ""STAN"" a TOP 09"	TOP+STAN
660	Koalice TOP 09 a SLK	
661	Koalice SPOZ a SZ	
663	Koalice SNK ED a VV	
664	Koalice VPM a VV	
665	Koalice SZ, US-DEU a TOP 09	
666	Koalice SDŽ a Pražané za svá práva	
667	Koalice KDU-ČSL, SZ, KONS, KAN, Suveren., ČPS	
668	Koalice KDU-ČSL a HNHRM	
669	Koalice SZ, Suveren. a SPOZ	
670	Koalice VV, SZ a NV	
671	Koalice DSZ a SPOZ	
672	"Koalice VPM a ""STAN"""	
673	Koalice DRS, TOP 09 a Věci veřejné	
